seed,fold,method,patient_macro_f1,patient_balanced_accuracy,patient_macro_auroc,patient_macro_auprc
11,1,global_only,0.48126436781609194,0.49015151515151517,0.6307687085912893,0.4571145723229864
11,1,local_only,0.262962962962963,0.29583333333333334,0.4628778827703559,0.3382217710006497
11,1,fixed_4g_4l,0.19423745653253852,0.32916666666666666,0.44241021324354657,0.3511695494321492
11,1,random_allocation,0.3822671156004489,0.4003787878787879,0.5763164802143296,0.41886167933878937
11,1,proposed_lsa_glqie,0.3055555555555555,0.30227272727272725,0.5117673147243039,0.3721250271028778
11,1,classical_proposed,0.6294622244902919,0.6265151515151516,0.8544463451721516,0.7145139701253092
11,1,fixed_2g_6l,0.27460317460317457,0.35833333333333334,0.5360364396654719,0.42371660406784084
11,1,fixed_6g_2l,0.15300546448087432,0.2916666666666667,0.4904216900184643,0.36467490529710295
11,1,shuffled_size_allocation,0.2652680652680653,0.2950757575757576,0.5772500995619275,0.39679977680034817
11,1,lesion_size_only,0.5088302378624959,0.5507575757575758,0.7213379312841678,0.601557075344791
11,1,svm_classical_proposed,0.8070707070707069,0.8238636363636364,0.9398754570797582,0.8630710591760291
11,2,global_only,0.4252851091560769,0.4341168091168091,0.5762136574109027,0.43414086100285415
11,2,local_only,0.18198037466547726,0.35185185185185186,0.4671651629382441,0.36196824505633646
11,2,fixed_4g_4l,0.17543859649122806,0.32621082621082625,0.46828445400388086,0.3365626123694267
11,2,random_allocation,0.18198037466547726,0.35185185185185186,0.5488278435548278,0.42428747614769163
11,2,proposed_lsa_glqie,0.18451300665456746,0.35185185185185186,0.552433301120568,0.43006692934518415
11,2,classical_proposed,0.8306623931623932,0.8352920227920227,0.9439412714497776,0.8887028402413631
11,2,fixed_2g_6l,0.25892408245349424,0.349002849002849,0.5456951847508348,0.41742551718729626
11,2,fixed_6g_2l,0.21554677206851122,0.3703703703703704,0.5508284184632087,0.4065439619254097
11,2,shuffled_size_allocation,0.1871345029239766,0.35185185185185186,0.464897429932109,0.3717819628340145
11,2,lesion_size_only,0.4568354120811935,0.5897435897435898,0.6261631455392497,0.4454063855995225
11,2,svm_classical_proposed,0.8506856610304886,0.8703703703703703,0.9680829844083133,0.9164879952919321
11,3,global_only,0.3461538461538461,0.406015037593985,0.5976300036058808,0.4732975028798756
11,3,local_only,0.3000273000273,0.3048968575284365,0.4850256752669033,0.3778006666322549
11,3,fixed_4g_4l,0.4280544912728821,0.4558511663774822,0.5854899851610379,0.45166470872832054
11,3,random_allocation,0.2944055944055944,0.36369770580296895,0.5763824382245436,0.452622615843053
11,3,proposed_lsa_glqie,0.3556969346443031,0.38702525544630806,0.572743583982619,0.40451655148310284
11,3,classical_proposed,0.7608444187391555,0.7608444187391555,0.9122220777922533,0.8393629578973453
11,3,fixed_2g_6l,0.2707953855494839,0.3634085213032581,0.5405239051072385,0.4005584011139269
11,3,fixed_6g_2l,0.19327731092436973,0.24725274725274726,0.4289422707734111,0.330135753903296
11,3,shuffled_size_allocation,0.44475341651812245,0.46635820320030846,0.6154785050070138,0.5272754363921394
11,3,lesion_size_only,0.5509259259259259,0.5765374975901292,0.7741588029416978,0.6779790856882917
11,3,svm_classical_proposed,0.8576576576576578,0.8579140158087526,0.9373497279199033,0.878064308578093
11,4,global_only,0.24979114452798665,0.2732343679712101,0.4795753051558005,0.3432424450425761
11,4,local_only,0.4493006993006993,0.4661268556005398,0.5695415480632199,0.41453563243511155
11,4,fixed_4g_4l,0.2957393483709273,0.2932973459289249,0.459667102333511,0.31948556165223835
11,4,random_allocation,0.29495778426576186,0.3258659469185785,0.49282820078098716,0.3578433518064008
11,4,proposed_lsa_glqie,0.2992450240219629,0.34385964912280703,0.5282822440717179,0.3890639422456137
11,4,classical_proposed,0.7225613892280558,0.7174089068825911,0.8922087222203322,0.7809538431761776
11,4,fixed_2g_6l,0.32740538075695397,0.3519568151147099,0.4605134395188575,0.36316826441127076
11,4,fixed_6g_2l,0.2197402597402597,0.3098515519568151,0.4644308026854467,0.3649309354438099
11,4,shuffled_size_allocation,0.38622891016871863,0.41862348178137654,0.5947277223980011,0.4704679424116669
11,4,lesion_size_only,0.6059667886293273,0.6421052631578947,0.7890813241625936,0.6363911244216175
11,4,svm_classical_proposed,0.8941788575409265,0.912280701754386,0.9483303611593086,0.8788605527775566
11,5,global_only,0.5020438498699368,0.5383320383320384,0.6922800922800924,0.5189927073060935
11,5,local_only,0.25572492024104926,0.33139083139083136,0.5508768008768009,0.3849388879364244
11,5,fixed_4g_4l,0.26106689009914813,0.35159285159285164,0.5597236847236847,0.3776408548353786
11,5,random_allocation,0.39576719576719577,0.4809634809634809,0.603056378056378,0.5020936801614742
11,5,proposed_lsa_glqie,0.23666437291332162,0.38254338254338255,0.4897755647755648,0.34996344279433567
11,5,classical_proposed,0.8100570926657884,0.8557368557368558,0.956848781848782,0.9237934801899345
11,5,fixed_2g_6l,0.4055778833272439,0.46283346283346277,0.5260266010266009,0.43317554497555366
11,5,fixed_6g_2l,0.26698606271777003,0.29111629111629117,0.49576794576794575,0.3936652439928916
11,5,shuffled_size_allocation,0.22084623323013416,0.32336182336182334,0.50992985992986,0.3907576724525515
11,5,lesion_size_only,0.4513285024154589,0.5317275317275317,0.6284930034930035,0.46985372222172034
11,5,svm_classical_proposed,0.8404614019520853,0.8638953638953639,0.9716952966952966,0.9414684995640331
22,1,global_only,0.3452380952380952,0.34507575757575754,0.5231418123891243,0.39124947895276113
22,1,local_only,0.2612942612942613,0.2916666666666667,0.48875312262409043,0.3675859947745166
22,1,fixed_4g_4l,0.25764411027568923,0.2534090909090909,0.45316063864450956,0.3279493757068544
22,1,random_allocation,0.24444444444444446,0.30833333333333335,0.4937710437710437,0.41122719514253653
22,1,proposed_lsa_glqie,0.30865519621141807,0.33560606060606063,0.5249642482169364,0.3616069743068415
22,1,classical_proposed,0.6294622244902919,0.6265151515151516,0.8544463451721516,0.7145139701253092
22,1,fixed_2g_6l,0.2533733133433283,0.325,0.5676224611708482,0.4409259374440971
22,1,fixed_6g_2l,0.33560606060606063,0.33560606060606063,0.508732938706057,0.40211830592142944
22,1,shuffled_size_allocation,0.21264802217183168,0.24166666666666667,0.43752489048187976,0.33646671589218763
22,1,lesion_size_only,0.5088302378624959,0.5507575757575758,0.7208889975019007,0.5995816668318353
22,1,svm_classical_proposed,0.8070707070707069,0.8238636363636364,0.939258173129141,0.8620553100542194
