seed,fold,method,patient_macro_auroc,patient_macro_auprc
11,1,global_only,0.6307687085912893,0.4571145723229864
11,1,local_only,0.4628778827703559,0.3382217710006497
11,1,fixed_4g_4l,0.44241021324354657,0.3511695494321492
11,1,random_allocation,0.5763164802143296,0.41886167933878937
11,1,proposed_lsa_glqie,0.5117673147243039,0.3721250271028778
11,1,classical_proposed,0.8544463451721516,0.7145139701253092
11,1,fixed_2g_6l,0.5360364396654719,0.42371660406784084
11,1,fixed_6g_2l,0.4904216900184643,0.36467490529710295
11,1,shuffled_size_allocation,0.5772500995619275,0.39679977680034817
11,1,lesion_size_only,0.7213379312841678,0.601557075344791
11,1,svm_classical_proposed,0.9398754570797582,0.8630710591760291
11,2,global_only,0.5762136574109027,0.43414086100285415
11,2,local_only,0.4671651629382441,0.36196824505633646
11,2,fixed_4g_4l,0.46828445400388086,0.3365626123694267
11,2,random_allocation,0.5488278435548278,0.42428747614769163
11,2,proposed_lsa_glqie,0.552433301120568,0.43006692934518415
11,2,classical_proposed,0.9439412714497776,0.8887028402413631
11,2,fixed_2g_6l,0.5456951847508348,0.41742551718729626
11,2,fixed_6g_2l,0.5508284184632087,0.4065439619254097
11,2,shuffled_size_allocation,0.464897429932109,0.3717819628340145
11,2,lesion_size_only,0.6261631455392497,0.4454063855995225
11,2,svm_classical_proposed,0.9680829844083133,0.9164879952919321
11,3,global_only,0.5976300036058808,0.4732975028798756
11,3,local_only,0.4850256752669033,0.3778006666322549
11,3,fixed_4g_4l,0.5854899851610379,0.45166470872832054
11,3,random_allocation,0.5763824382245436,0.452622615843053
11,3,proposed_lsa_glqie,0.572743583982619,0.40451655148310284
11,3,classical_proposed,0.9122220777922533,0.8393629578973453
11,3,fixed_2g_6l,0.5405239051072385,0.4005584011139269
11,3,fixed_6g_2l,0.4289422707734111,0.330135753903296
11,3,shuffled_size_allocation,0.6154785050070138,0.5272754363921394
11,3,lesion_size_only,0.7741588029416978,0.6779790856882917
11,3,svm_classical_proposed,0.9373497279199033,0.878064308578093
11,4,global_only,0.4795753051558005,0.3432424450425761
11,4,local_only,0.5695415480632199,0.41453563243511155
11,4,fixed_4g_4l,0.459667102333511,0.31948556165223835
