method,patient_macro_f1
classical_proposed,0.7574089262515618
fixed_2g_6l,0.2635786493312184
fixed_4g_4l,0.23987366175322278
fixed_6g_2l,0.21838506725829868
global_only,0.3217704977340503
lesion_size_only,0.5213850609939168
local_only,0.25507221562470267
proposed_lsa_glqie,0.2467297189791836
random_allocation,0.26154132130024105
shuffled_size_allocation,0.2650351668494951
svm_classical_proposed,0.848567081583609
